freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.648e+01,5.892e+02,2.884e+01,6.445e+02
1.5,1.445e+02,4.164e+02,1.201e+02,6.810e+02
3.1,1.835e+02,1.373e+02,1.444e+02,4.652e+02
4.6,1.853e+02,4.335e+02,1.406e+02,7.595e+02
6.1,1.742e+02,1.394e+03,1.527e+02,1.721e+03
7.6,1.734e+02,2.414e+03,1.553e+02,2.743e+03
9.2,1.847e+02,3.531e+03,1.505e+02,3.866e+03
10.7,1.789e+02,3.689e+03,1.514e+02,4.019e+03
12.2,1.764e+02,3.923e+03,1.532e+02,4.253e+03
13.8,1.758e+02,5.268e+03,1.665e+02,5.610e+03
15.3,1.896e+02,6.777e+03,1.554e+02,7.122e+03
16.8,1.927e+02,8.362e+03,1.449e+02,8.700e+03
18.3,1.859e+02,1.034e+04,1.624e+02,1.069e+04
19.9,1.813e+02,1.265e+04,1.598e+02,1.299e+04
21.4,1.959e+02,1.561e+04,1.585e+02,1.596e+04
22.9,1.948e+02,1.855e+04,1.750e+02,1.892e+04
24.4,1.943e+02,2.180e+04,1.781e+02,2.217e+04
26.0,1.852e+02,2.554e+04,1.886e+02,2.591e+04
27.5,2.008e+02,3.035e+04,1.948e+02,3.075e+04
29.0,2.239e+02,3.653e+04,1.968e+02,3.695e+04
30.6,2.479e+02,4.300e+04,2.024e+02,4.346e+04
32.1,2.483e+02,4.981e+04,2.110e+02,5.027e+04
33.6,2.054e+02,5.397e+04,2.024e+02,5.438e+04
35.1,2.182e+02,5.767e+04,1.729e+02,5.807e+04
36.7,2.426e+02,6.424e+04,1.525e+02,6.464e+04
38.2,2.971e+02,7.376e+04,1.522e+02,7.421e+04
39.7,2.926e+02,8.310e+04,1.591e+02,8.355e+04
41.3,2.736e+02,9.575e+04,1.672e+02,9.620e+04
42.8,2.511e+02,1.079e+05,1.602e+02,1.084e+05
44.3,2.579e+02,1.193e+05,2.695e+02,1.198e+05
45.8,2.987e+02,1.410e+05,5.750e+02,1.419e+05
47.4,4.232e+02,1.738e+05,8.733e+02,1.751e+05
48.9,5.590e+02,2.184e+05,7.662e+02,2.197e+05
50.4,6.490e+02,2.585e+05,9.138e+02,2.601e+05
52.0,6.515e+02,2.872e+05,1.147e+03,2.890e+05
53.5,9.730e+02,3.440e+05,1.078e+03,3.461e+05
55.0,1.759e+03,4.627e+05,9.875e+02,4.654e+05
56.5,2.726e+03,6.451e+05,1.001e+03,6.488e+05
58.1,4.244e+03,9.193e+05,1.261e+03,9.248e+05
59.6,7.029e+03,1.478e+06,2.350e+03,1.487e+06
61.1,1.150e+04,2.428e+06,4.618e+03,2.444e+06
62.6,1.503e+04,3.158e+06,7.266e+03,3.180e+06
