freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.951e+01,2.705e+01,2.033e+02,2.699e+02
1.5,1.204e+02,1.156e+02,1.893e+02,4.253e+02
3.1,1.207e+02,1.336e+02,1.225e+02,3.767e+02
4.6,1.262e+02,1.325e+02,4.825e+02,7.413e+02
6.1,1.256e+02,1.384e+02,1.706e+03,1.970e+03
7.6,1.301e+02,1.450e+02,3.155e+03,3.430e+03
9.2,1.258e+02,1.588e+02,4.508e+03,4.792e+03
10.7,1.163e+02,1.391e+02,3.476e+03,3.731e+03
12.2,1.259e+02,1.256e+02,3.353e+03,3.605e+03
13.8,1.260e+02,1.313e+02,4.868e+03,5.126e+03
15.3,1.237e+02,1.409e+02,7.312e+03,7.577e+03
16.8,1.234e+02,1.298e+02,9.932e+03,1.019e+04
18.3,1.183e+02,1.414e+02,1.223e+04,1.249e+04
19.9,1.295e+02,1.450e+02,1.503e+04,1.531e+04
21.4,1.449e+02,1.486e+02,1.918e+04,1.947e+04
22.9,1.378e+02,1.404e+02,2.451e+04,2.479e+04
24.5,1.423e+02,1.390e+02,3.242e+04,3.270e+04
26.0,1.565e+02,1.426e+02,4.287e+04,4.317e+04
27.5,1.700e+02,1.838e+02,4.190e+04,4.226e+04
29.0,1.623e+02,3.116e+02,3.475e+04,3.523e+04
30.6,1.434e+02,5.259e+02,3.315e+04,3.382e+04
32.1,1.458e+02,7.983e+02,3.728e+04,3.822e+04
33.6,1.396e+02,9.173e+02,4.272e+04,4.378e+04
35.2,1.442e+02,8.332e+02,4.970e+04,5.068e+04
36.7,1.769e+02,7.373e+02,6.024e+04,6.116e+04
38.2,2.084e+02,7.301e+02,7.857e+04,7.951e+04
39.7,2.968e+02,7.677e+02,1.006e+05,1.017e+05
41.3,5.343e+02,9.373e+02,1.406e+05,1.421e+05
42.8,1.407e+03,1.376e+03,2.026e+05,2.054e+05
44.3,2.886e+03,2.019e+03,2.437e+05,2.486e+05
45.8,4.154e+03,2.349e+03,2.416e+05,2.481e+05
47.4,6.673e+03,3.008e+03,2.814e+05,2.910e+05
48.9,7.693e+03,3.258e+03,2.445e+05,2.555e+05
50.4,6.890e+03,2.632e+03,1.844e+05,1.939e+05
52.0,4.994e+03,2.138e+03,1.958e+05,2.030e+05
53.5,3.636e+03,1.638e+03,2.033e+05,2.086e+05
55.0,3.540e+03,1.112e+03,1.652e+05,1.698e+05
56.5,3.160e+03,9.499e+02,1.263e+05,1.304e+05
58.1,2.837e+03,8.742e+02,9.266e+04,9.637e+04
59.6,3.943e+03,9.831e+02,6.875e+04,7.368e+04
61.1,7.779e+03,1.031e+03,4.969e+04,5.850e+04
62.7,1.577e+04,1.136e+03,3.275e+04,4.965e+04
64.2,2.949e+04,1.353e+03,1.847e+04,4.932e+04
65.7,4.927e+04,1.308e+03,9.787e+03,6.036e+04
67.2,6.430e+04,1.147e+03,1.146e+04,7.690e+04
68.8,7.097e+04,1.095e+03,2.232e+04,9.439e+04
70.3,7.091e+04,9.980e+02,3.675e+04,1.087e+05
71.8,6.722e+04,8.390e+02,5.269e+04,1.208e+05
73.4,6.551e+04,7.104e+02,7.319e+04,1.394e+05
74.9,6.415e+04,6.703e+02,9.920e+04,1.640e+05
76.4,6.081e+04,6.841e+02,1.254e+05,1.869e+05
77.9,5.548e+04,7.288e+02,1.441e+05,2.003e+05
79.5,4.757e+04,7.906e+02,1.474e+05,1.958e+05
81.0,3.939e+04,8.947e+02,1.367e+05,1.770e+05
82.5,3.314e+04,9.938e+02,1.184e+05,1.525e+05
84.1,3.138e+04,1.117e+03,1.016e+05,1.341e+05
85.6,3.312e+04,1.378e+03,9.136e+04,1.259e+05
87.1,3.097e+04,2.212e+03,8.531e+04,1.185e+05
88.6,2.050e+04,4.750e+03,6.189e+04,8.714e+04
90.2,9.556e+03,4.354e+03,3.118e+04,4.509e+04
91.7,9.930e+03,4.026e+03,4.178e+04,5.573e+04
93.2,1.777e+04,6.856e+03,7.769e+04,1.023e+05
94.8,2.307e+04,1.886e+04,1.206e+05,1.625e+05
96.3,2.013e+04,1.127e+04,9.911e+04,1.305e+05
97.8,1.938e+04,1.455e+03,8.082e+04,1.017e+05
99.3,1.816e+04,9.476e+02,7.976e+04,9.886e+04
100.9,1.679e+04,6.926e+02,7.757e+04,9.505e+04
102.4,1.601e+04,4.453e+02,7.578e+04,9.223e+04
103.9,1.489e+04,4.300e+02,7.202e+04,8.734e+04
105.5,1.466e+04,3.394e+02,6.951e+04,8.451e+04
107.0,1.566e+04,3.539e+02,7.523e+04,9.124e+04
108.5,1.606e+04,3.522e+02,7.602e+04,9.243e+04
110.0,1.626e+04,3.764e+02,7.284e+04,8.948e+04
111.6,1.680e+04,3.352e+02,6.955e+04,8.669e+04
113.1,1.699e+04,2.862e+02,6.593e+04,8.322e+04
114.6,1.687e+04,2.586e+02,6.187e+04,7.899e+04
116.1,1.670e+04,2.294e+02,5.620e+04,7.313e+04
117.7,1.596e+04,2.229e+02,4.917e+04,6.535e+04
119.2,1.481e+04,2.284e+02,4.048e+04,5.552e+04
